Codigo,Descripcion,Costo compra (CLP),Costo reposicion (CLP)
010102001-T,BARRA 135 JABONERA,6778,0
010102003-T,BARRA DUCHA DESLIZABLE 65 CM,5803,0
010102004-T,BARRA SEGURIDAD RECTA 30 CM,4252,0
010102005-T,BARRA SEGURIDAD RECTA 40 CM,3754,0
010102006-T,Barra seguridad 60 cm acero inox.,5761,0
010102007-T,BARRA 3 APOYOS 90 ESQUINERA,13566,0
010103001-T,BRAZO DUCHA ENTRADA FLEXIBLE 30 CM,3671,0
010103002-T,BRAZO DUCHA AL MURO 30 CM,1749,0
010104001-T,PLATO DUCHA CUADRADO ACERO 25 CM,6093,0
010104002-T,PLATO DUCHA REDONDO ABS 20 CM,2671,0
010104003-T,PLATO DUCHA REDONDO ACERO 20 CM,6083,0
010105001-T,Brazo de Ducha Fija Con Difusor Al Muro Abs Cromado,948,0
010201001-T,LAVATORIO CRISTAL SOBREPUESTO 415X415 MM,14598,0
010204002-T,DESAGUE LAVATORIO 1 1/4 CLICK CLACK,5028,0
010204004-T,DESAGUE LAVATORIO 1 1/4,100,0
010205002-T,SIFON LAVATORIO 1 1/4 ELEGANTE METALICO,6081,0
010205004-T,SIFON LAVATORIO 1 1/2 1 1/4 CODO PLASTICO,1521,0
010301001-T,KIT ANCLAJE WC,727,0
010301002-T,KIT FIJACIONES ESTANQUE WC,928,0
010301003-T,KIT WC ANCLAJE ANTIFUGA ADMISION,3880,0
010301004-T,KIT ESTANQUE WC,5459,0
010301009-T,VALVULA DESCARGA WC FLAPPER,2179,0
010301010-T,VALVULA CARGA WC FLOTADOR,2239,0
010301011-T,VALVULA DESCARGA DUAL FLUSH ESTANQUE TRADICIONAL,4357,0
010301015-T,VALVULA DE CARGA LATERAL,1876,0
010302009-T,Asiento Tapa WC Modern,5666,0
010501022-T,SHOWER DOOR 80X80X195 CUADRADO TRANSPARENTE,80000,0
010502005-T,MAMPARA DUCHA 120-140X190 CM,93036,0
010503001-T,RUEDAS SHOWER DOOR 2 CARROS DOBLES INFERIOR,1571,0
010503002-T,RUEDAS SHOWER DOOR 2 CARROS DOBLES SUPERIOR,1571,0
010602001-T,DESAGUE TINA 1 1/2 REBALSE PLASTICO,2241,0
010602002-T,DESAGUE TINA 1 1/2 METALICO,3114,0
010602003-T,SIFON TINA 1 1/2 PLASTICO,895,0
010603004-T,RECEPTACULO DUCHA 80X80 CM,23601,0
010604003-T,Desague Sifon Receptaculo 90 mm,2712,0
010701001-T,DISPENSADOR DE PALANCA,21861,0
010701005-T,PORTA TOALLA REPISA 60 CM AL MURO,9825,0
010701007-T,DISPENSADOR JABON INOX 800 ML,7473,0
010701010-T,DISPENSADOR JABON SIMPLE 500 ML,1993,0
010701011-T,DISPENSADOR JABON SIMPLE MEJORADO 360 ML,2328,0
010701012-T,PORTAPAPEL HIGIENICO INDUSTRIAL ACERO,12681,0
010701013-T,PORTAPAPEL HIGIENICO INDUSTRIAL PLASTICO,5829,0
010702001-T,PAPELERO PEDAL 3 L,2860,0
010702003-T,PAPELERO PEDAL 12 L,7123,0
010703002-T,ESPEJO 45X60 RECTANGULAR LED,16934,0
010703004-T,ESPEJO 50X70 RECTANGULAR LED,21620,0
010703007-T,ESPEJO 60X90 RECTANGULAR BORDE AZUL,18671,0
010703008-T,ESPEJO 60X90 RECTANGULAR ONDAS,12628,0
010703011-T,ESPEJO DOBLE AL MURO,6686,0
010703012-T,Espejo Redondo Doble Cara Con Aumento X3 Pedestal,4526,0
010703013-T,"ESPEJO 70X100 CM, 3 LUCES LED DISTINTAS",20507,0
010703014-T,"ESPEJO CIRC 60 CM LED TRIPLE, BORD.METAL",17141,0
010704002-T,JABONERA COLOMBA,1642,0
010704012-T,SET ACCESORIOS BAÑO COLOMBA 6 PIEZAS,7476,0
010704015-T,SET ACCESORIOS DE BAÑOS NOTTE (6 PIEZAS),9949,0
010704016-T,MONOMANDO TINA DUCHA NOTTE,14475,0
010704017-T,MONOMANDO DUCHA NOTTE,10367,0
010704018-T,JABONERA BOTELLA LINEA SCHWARZ,3206,0
010801004-T,KIT DUCHA BIDET ARABE,8448,0
020100402-T,JUEGO DUCHA CONSTER,3574,0
020100702-T,SET DUCHA NEUE FREIBURG,3551,0
020101001-T,LAVAPLATOS SIMPLE EMPOTRADO 100X44 CM SECADOR DERECHO,13427,0
020101002-C,Lavaplatos empotrado 37x32 Chocolate,5000,0
020101002-T,LAVAPLATOS SIMPLE EMPOTRADO 100X44 CM SECADOR IZQUIERDO,13219,0
020101003-T,LAVAPLATOS SIMPLE EMPOTRADO 80X44 CM SECADOR DERECHO,11559,0
020101004-T,LAVAPLATOS SIMPLE EMPOTRADO 80X44 CM SECADOR IZQUIERDO,11559,0
020101005-T,LAVAPLATOS SIMPLE EMPOTRADO 686X456 MM HAMBURG,37409,0
020101010-T,LAVAPLATOS DOBLE EMPOTRADO 120X44 CM SECADOR DERECHO,26751,0
020101011-T,LAVAPLATOS DOBLE EMPOTRADO 120X44 CM SECADOR IZQUIERDO,26751,0
020102008-W,WC,30000,0
020103005-T,LAVACOPA NOTTE,4387,0
020103006-T,LLAVE LAVACOPAS INOX,4192,0
020201001-T,CODO LAVAPLATOS SALIDA SIFON,392,0
020201005-T,BANDEJA-CANASTO ESQUINERO,5319,0
020202008-T,DESAGUE LAVAPLATOS 3 1/2 REBALSE,1740,0
020203001-T,Sifon Lavaplatos 1 1/2 Tubo Plastico,1447,0
020203004-T,SIFON ECON. LAVATORIO 1. 1/4,2745,0
020300201-T,COLGADOR SWERTT,613,0
020301001-T,LLAVE LAVADERO CON FLANGE HE HE 1/2 3/4,4880,0
030101002-T,FLEXIBLE AGUA HE HI 1/2 LLAVE ANGULAR 35 CM,2492,0
030101004-T,FLEXIBLE AGUA HE HI M10 1/2 35 CM,815,0
030101005-T,FLEXIBLE AGUA HE HI M10 1/2 50 CM,1090,0
030101008-T,MANGUERA ENTRADA AGUA LAVADORAS,1144,0
030101009-T,FLEXIBLE DUCHA SPIEGEL 185 CM,1463,0
030102001-K,PAPEL HIGENICO INDUSTRIAL 216 MT,500,0
030102002-T,FLEXIBLE GAS HI HI 3/8 1/2 100 CM,3347,0
030102003-K,TOALLA INTERFOLEADA 200 UND POR PAQUETE,1160,0
030102003-T,FLEXIBLE GAS HI HI 3/8 1/2 60 CM,2222,0
030102004-K,PACK 6 PAPEL HIGIENICO,5000,0
030102004-T,LLAVE PASO GAS HI HE 1/2,1964,0
03012053-T,FLEXIBLE GAS HI-HI 1/2 40 CM,1,0
030400201-T,Toallero Aro Swertt,2140,0
030800200-T,Porta Toalla Muro Chico,10428,10428
031200500-T,BARRA 135 JABONERA,0,0
031500100-T,Dispensador Jabon al muro 500,5157,5157
040101001-C,VALVULA DESVIO DIVERTER 3 VIAS 1/2 3/8,7767,0
040201006-T,LLAVE MONOMANDO LAVAPLATOS VERTICAL COLOMBA,6008,0
040201007-T,LLAVE MONOMANDO LAVAPLATOS VERTICAL DOMENICA,9125,0
040201008-T,LLAVE MONOMANDO LAVAPLATOS VERTICAL INOX,11001,0
040201009-T,LLAVE MONOMANDO LAVAPLATOS VERTICAL NOTTE NEGRO,10566,0
040201012-T,COMBINACIÓN LPLATO EN V VANDER MUY MEJOR,7102,0
040202002-T,LLAVE MONOMANDO LAVATORIO ALTO NOTTE NEGRO,15098,0
040202003-T,LLAVE MONOMANDO LAVATORIO ALTO MODERN PALETA INOX,13169,0
040202004-T,LLAVE MONOMANDO LAVATORIO ALTO MODERN PITUTO CROMADO,14616,0
040202005-T,LLAVE MONOMANDO LAVATORIO COLOMBA,5489,0
040202006-T,LLAVE MONOMANDO LAVATORIO DOMENICA,8033,0
040202007-T,LLAVE MONOMANDO LAVATORIO MODERN PALETA INOX,9449,0
040202008-T,LLAVE MONOMANDO LAVATORIO MODERN PITUTO CROMADO,11291,0
040203001-T,LLAVE MONOMANDO DUCHA AL MURO NOTTE NEGRO,10633,0
040203004-T,LLAVE MONOMANDO DUCHA DOMENICA,10519,0
040203005-T,LLAVE MONOMANDO DUCHA EMPOTRADA DUSSELDORF,10568,0
040203007-T,LLAVE MONOMANDO DUCHA COLOMBA,8611,0
040203017-C,LLAVE MONOMANDO LAVATORIO ALTO MODERN PITUTO CROMADO,10133,0
040204002-T,LLAVE MONOMANDO TINA DUCHA DOMENICA,14754,0
040204003-T,LLAVE MONOMANDO TINA DUCHA COLOMBA,11060,0
040301002-T,LLAVE TEMPORIZADA LAVATORIO AL MURO,8888,0
040301003-T,LLAVE TEMPORIZADA LAVATORIO PUNTA CUADRADA CILINDRICA,9207,0
040302001-T,VALVULA DESCARGA TEMPORIZADA URINARIO,6911,0
040303003-T,FLUXOMETRO PALANCA POSTERIOR 1,38984,0
040303004-T,FLUXOMETRO PALANCA SUPERIOR 1,44554,0
040501002-T,CUELLO CISNE,9268,0
040501005-T,FLEXIBLE LLAVE PROFESIONAL,1813,0
040501006-T,Valvula Pedal Simple,10650,0
041006002-T,Desague Automatico Lavatorio Comun,3827,3827
041910301-T,Desague al Piso Invisible 30x10,5905,5905
050433422-T,Flexible HI-HE 1/2 35 cm,1025,1025
050433621-T,Flexible HI-HE 1/2 50 cms,1174,1
1,REPUESTO,1,0
100501025-T,Base curva 80x80,15000,0
100501026-T,Base curva 90x90,25000,0
100501027-T,Base curva 80x120 Der.,35000,0
100501028-T,Base curva 80x120 Izq.,35000,0
210000990-T,Asiento WC Eco,2007,0
915100105,Rejilla Lavaplatos Agustina,3490,1000
915100108,Rejilla Lavaplatos Giacommo,2000,0
915100109,Rejilla Michele,2000,0
915100110,Canastillo Pascal,4000,0
915100111,Rejilla Lavaplatos Fabricio,3490,0
915100123,Pack Plato Ducha Modern Cuadrado + Brazo Metalico al muro 30 cms,7765,7765
915100128,Lavaplatos empotrado ancho Hamburgo,32273,35273
915100130,Asiento WC Colomba,3128,3128
915100131,Niple Tuerca Hi-He 1/2 x 3/8 Golilla,459,459
915100132,Campana para llave angular WC 1/2,353,353
915100136,Lavaplatos Satriani Plateado Doble,18000,36000
915100137,Lavaplatos Satriani Riñon,20000,40000
915100138,Lavaplatos Satriani 50x40 Doble,12000,24000
TZ-2003,Llave Satriani Lavamanos cromo,6500,6500
TZ-2004,Llave Satriani Lavamanos negra,6500,6500
TZ-2005,Llave Satriani Lavaplato Cromo,8000,8000
TZ-2006,Llave Satriani Lavaplato Negra,8000,0
TZ-3001,Llave Vanitorio Alta Cromo,13000,13000
TZ-3002,Llave Satriani Vanitorio Alta Negro,13000,13000
TZ-3004,Llave Satriani Lavaplato Plana Negro,13000,13000
TZ-3431,Lavamanos Invitados Blanco,20000,20000
TZ-5059,Lavamanos Marmol Blanco,30000,30000
TZ-5060,Lavamanos Marmol Gris,30000,30000
TZ-5061,Lavamanos Marmol Onyx,30000,30000
